Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
SeedBlink,https://www.crunchbase.com/organization/seedblink,Series A,"Apps, Artificial Intelligence, Biotechnology, Cyber Security, EdTech, Financial Services, FinTech, Machine Learning, Property Management, Software","Seedblink is Europe’s fastest growing investing platform specialized in sourcing, vetting, financing and scaling tech start-ups. We leverage software, capital and an exclusive industry community to lower barriers to accessing VC level opportunities for both investors and founders.","Bucharest, Bucuresti, Romania",11-50,Active,3515000,EUR,4219954,3000000,EUR,3657876,2021-05-27,investors@seedblink.com
LunarCrush,https://www.crunchbase.com/organization/lunarcrush,Series A,"Artificial Intelligence, Blockchain, Cryptocurrency, Data Visualization, FinTech, Information Services, Social Media","LunarCrush, proven in the cryptocurrency and financial industries, provides a novel solution for the information-saturated social media landscape, offering a tailored approach to media consumption beyond the control of traditional algorithms. LunarCrush's mission is to foster mindful media and create transparency in the world’s social media discourse.","Costa Mesa, California, United States",11-50,Active,8620000,USD,8620000,5000000,USD,5000000,2023-07-12,support@lunarcrush.com
Effectiv,https://www.crunchbase.com/organization/effectiv,Seed,"Analytics, FinTech","Effectiv is a next-gen fraud management platform with out-of-box solutions designed specifically for financial institutions. Effectiv’s focus is to significantly reduce the time it takes to deploy and adapt fraud detection strategies without adding any friction to good users.   The Effectiv platform comes with an easy to use, no-code, orchestration & rule engine with pre-built integrations to all industry standard data & intelligence providers; an AI-assisted case management system built to increase investigator efficiency; and a powerful reporting and analytics dashboard. About us: Our founding team has over 30 years of combined experience in building risk mitigation systems at companies like Google, PayPal and Walmart. We were also part of the early team at Simility (acquired by PayPal), where we developed fraud detection solutions for large banks like US Bank, Synchrony, Discover, Zions, Itau and Santander.","San Francisco, California, United States",11-50,Active,8560000,USD,8560000,4500000,USD,4500000,2023-07-26,
Pacto,https://www.crunchbase.com/organization/pactopos,Seed,"FinTech, Mobile Payments, Payments, Point of Sale, Restaurants, Retail, SaaS, Small and Medium Businesses","Pacto is a point of sale (POS) software and payments company dedicated to making digital commerce accessible for the merchants of Latin America. Pacto builds tools and technology to empower merchants to move beyond cash payments and accelerate growth in their digital business. Headquartered in the US, Pacto has an office in Mexico City.","Mexico City, Distrito Federal, Mexico",11-50,Active,6000000,USD,6000000,4000000,USD,4000000,2023-03-29,hola@pacto.co
GIMO,https://www.crunchbase.com/organization/gimo,Series A,"Financial Services, FinTech","Founded in 2019, Vietnam's fintech company Gimo provides Earned Wage Access (EWA) and other payroll services to underbanked Vietnamese workers. The company aspires to tap into millions of workers who don’t have a bank account or have limited access to financial services, helping them to alleviate their financial stress and build financial security, thus driving financial inclusion in Vietnam and the region.","Hanoi, NA - Vietnam, Vietnam",11-50,Active,19500000,USD,19500000,12000000,USD,12000000,2023-07-24,quan@gimo.vn
FOMO Pay,https://www.crunchbase.com/organization/fomo-pay,Series A,"Banking, Financial Services, FinTech, Payments","FOMO Pay is a fintech company that provides digital payment and banking solutions to merchants, retailers, corporates, and financial institutions. It enables businesses to accept digital payments from local and overseas consumers with ease. The company offers over 25 payment methods including credit cards, digital wallets, PayNow, QR payments, Buy Now Pay Later, and cryptocurrencies payment.","Singapore, Central Region, Singapore",11-50,Active,13000000,USD,13000000,13000000,USD,13000000,2022-08-18,sales@fomopay.com
Stable Money,https://www.crunchbase.com/organization/stable-money,Seed,"Financial Services, FinTech, Wealth Management","Stable Money is a fixed-return investment platform that allows users to access fixed deposits, debt mutual funds, and bonds. It helps individuals grow their wealth over the long term by offering investment options that prioritize great returns with safety and stability.","Bangalore, Karnataka, India",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2023-02-13,help@stablemoney.in
Edge,https://www.crunchbase.com/organization/edgesecure,Seed,"Blockchain, Cloud Security, Cryptocurrency, FinTech, Mobile Apps, Security, Software","Edge is an SDK platform that enables its users to develop security applications for its clients. Their product range includes client-side encryption, data backup, password recovery, blockchain technology, private key authentication, buy/sell/trade crypto. Edge (formerly Airbitz) was founded in 2014 and is based in San Diego, California.","San Diego, California, United States",11-50,Active,2466000,USD,2466000,350000,USD,350000,2018-10-19,info@edge.app
Zanifu,https://www.crunchbase.com/organization/zanifu,Seed,"Financial Services, FinTech, Social Impact, Supply Chain Management",Zanifu is a regulated financial technology company that provides inventory financing for MSMEs. The company enables MSMEs' supply chains to get access to working capital. Its platform allows small retailers to procure inventory from their suppliers and pay later.,"Nairobi, Nairobi Area, Kenya",11-50,Active,12680332,USD,12680332,1600000000,KES,11080332,2023-08-21,info@zanifu.com
Credix,https://www.crunchbase.com/organization/credix-47fb,Series A,"Financial Services, FinTech",CREDIX is a decentralized credit platform that gives borrowers in emerging countries access to previously untapped capital. Our blockchain protocol provides credit lines to high-quality borrowers with an attractive yield for investors globally.,"Antwerp, Antwerpen, Belgium",1-10,Active,13933580,USD,13933580,60000000,BRL,11433580,2022-09-06,info@credix.finance
Forecastr,https://www.crunchbase.com/organization/forecastr,Series A,"Financial Services, FinTech, Software","Forecastr is an online software that enables founders to forecast their revenue, predict runway, understand their numbers, and get funded. The company allows users to build a custom financial model from their existing data.","Louisville, Kentucky, United States",1-10,Active,9103406,USD,9103406,,,,2023-07-28,steven@financialmodel.io
Onramp Invest,https://www.crunchbase.com/organization/onramp-invest,Series A,"Financial Services, FinTech","Onramp Invest connects the world's traditional and digital asset financial infrastructures, allowing investors and their financial professionals to invest, transfer, and build multi-asset portfolios in real time. Through efficient technology, it aims to remove barriers to economic opportunity. It is adamant about making its platform as simple to use as possible while providing an unrivaled suite of features for adapting services to the full spectrum of emerging digital assets.","San Diego, California, United States",11-50,Active,13000000,USD,13000000,7000000,USD,7000000,2022-07-14,
CHEQ,https://www.crunchbase.com/organization/cheq-0467,Seed,"FinTech, Payments, Social, Software","CHEQ is the world's first social payments platform, connecting consumers and businesses to create frictionless, amazing in-person experiences. CHEQ's universal ordering and payment app can be used by restaurants, stadiums, hotels, and more to make transactions fun, easy, and worry- free. Users can even send food and drinks directly to their friends from anywhere in the world. CHEQ lets venues retain their unique branding within the app and keep their direct relationships with their guests.","Kirkland, Washington, United States",11-50,Active,13470000,USD,13470000,8000000,USD,8000000,2022-09-21,info@cheq.io
Monite,https://www.crunchbase.com/organization/monite,Seed,"Financial Services, FinTech, Payments, SaaS, Software","Monite is an add invoicing and payables automation management platform. Monite is building an embedded finance automation solution. In 3-5 weeks, Monite enables B2B brands to integrate invoicing, AP automation, and expense management into their current interface.","Berlin, Berlin, Germany",11-50,Active,12765838,USD,12765838,5000000,USD,5000000,2023-03-20,hello@monite.com
