Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Techstars,https://www.crunchbase.com/organization/techstars,For Profit,Private,Pre-Seed,"Consulting, Finance, Financial Services, FinTech, Incubators","Techstars is a global platform that provides investment and innovation. Through the Techstars Worldwide Entrepreneur Network, founders and their teams connect with other entrepreneurs, experts, mentors, alumni, investors, community leaders, and corporate partners who will help their companies grow. Techstars operates four divisions: Techstars Mentorship-Driven Accelerator Program supercharges success and Techstars Startup Programs inspire, educate, and connect entrepreneurs. Techstars Venture Capital Fund invests in innovative and disruptive companies. Techstars Corporate Innovation Partnerships help brands create products and services. Techstars' accelerator portfolio includes more than 1,000 companies with a market cap of $8.1 billion.","Boulder, Colorado, United States",1001-5000,Active,108919999,USD,108919999,120000,USD,120000,2022-01-01,info@techstars.com
Zanifu,https://www.crunchbase.com/organization/zanifu,For Profit,Private,Seed,"Financial Services, FinTech, Social Impact, Supply Chain Management",Zanifu is a regulated financial technology company that provides inventory financing for MSMEs. The company enables MSMEs' supply chains to get access to working capital. Its platform allows small retailers to procure inventory from their suppliers and pay later.,"Nairobi, Nairobi Area, Kenya",11-50,Active,12680332,USD,12680332,1600000000,KES,11080332,2023-08-21,info@zanifu.com
Stable Money,https://www.crunchbase.com/organization/stable-money,For Profit,Private,Seed,"Financial Services, FinTech, Wealth Management","Stable Money is a fixed-return investment platform that allows users to access fixed deposits, debt mutual funds, and bonds. It helps individuals grow their wealth over the long term by offering investment options that prioritize great returns with safety and stability.","Bangalore, Karnataka, India",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2023-02-13,help@stablemoney.in
Edge,https://www.crunchbase.com/organization/edgesecure,For Profit,Private,Seed,"Blockchain, Cloud Security, Cryptocurrency, FinTech, Mobile Apps, Security, Software","Edge is an SDK platform that enables its users to develop security applications for its clients. Their product range includes client-side encryption, data backup, password recovery, blockchain technology, private key authentication, buy/sell/trade crypto. Edge (formerly Airbitz) was founded in 2014 and is based in San Diego, California.","San Diego, California, United States",11-50,Active,2466000,USD,2466000,350000,USD,350000,2018-10-19,info@edge.app
Opna,https://www.crunchbase.com/organization/salt-5a61,For Profit,Private,Seed,"B2B, Finance, Financial Services, FinTech, SaaS, Sustainability","Opna is a financing platform for climate projects that remove carbon and protect natural ecosystems. Opna offers data, proprietary risk assessments, and efficient capital structures, helping companies to translate net-zero committed capital from financial institutions, and corporates into direct financing across a project's lifecycle.","London, England, United Kingdom",1-10,Active,5200000,GBP,6524753,5200000,GBP,6524753,2023-09-05,hi@opna.earth
Pacto,https://www.crunchbase.com/organization/pactopos,For Profit,Private,Seed,"FinTech, Mobile Payments, Payments, Point of Sale, Restaurants, Retail, SaaS, Small and Medium Businesses","Pacto is a point of sale (POS) software and payments company dedicated to making digital commerce accessible for the merchants of Latin America. Pacto builds tools and technology to empower merchants to move beyond cash payments and accelerate growth in their digital business. Headquartered in the US, Pacto has an office in Mexico City.","Mexico City, Distrito Federal, Mexico",11-50,Active,6000000,USD,6000000,4000000,USD,4000000,2023-03-29,hola@pacto.co
Firstcard,https://www.crunchbase.com/organization/firstcard,For Profit,Private,Seed,FinTech,,"Menlo Park, California, United States",1-10,Active,7700000,USD,7700000,4700000,USD,4700000,2023-09-06,
Stake,https://www.crunchbase.com/organization/stake-properties,For Profit,Private,Seed,"Crowdfunding, FinTech, Real Estate, Real Estate Investment, Residential","Stake is a digital real estate investment platform providing the easiest and most transparent way to invest in income-generating properties, starting in Dubai. Its mission is to make investing in real estate accessible and profitable for all.","Dubai, Dubai, United Arab Emirates",11-50,Active,12000000,USD,12000000,8000000,USD,8000000,2022-08-30,contact@getstake.com
Hadrius,https://www.crunchbase.com/organization/hadrius,For Profit,Private,Seed,"Artificial Intelligence, FinTech",,"San Francisco, California, United States",1-10,Active,2500000,USD,2500000,2000000,USD,2000000,2023-09-11,hello@hadrius.com
Chargeflow,https://www.crunchbase.com/organization/chargeflow,For Profit,Private,Seed,"Artificial Intelligence, Credit Cards, E-Commerce, FinTech, Fraud Detection, Machine Learning, Payments, Software","Chargeflow is a game-changing solution that automates the recovery of credit card disputes for merchants by leveraging advanced technology. It not only increases profit incrementally, but also improves internal productivity to enable growth functions of the business. At our core, we’re a high-tech-driven startup with reliable results which benefit any business, of any size, using well-experienced machine-learning modules to drive better and more efficient ways to keep your online growth stable and remove the burden of chargebacks.","Modi'in, HaMerkaz, Israel",51-100,Active,14000000,USD,14000000,11000000,USD,11000000,2023-08-08,hello@chargeflow.io
Zora,https://www.crunchbase.com/organization/zora-742a,For Profit,Private,Seed,"Blockchain, Cryptocurrency, FinTech, Information Technology, Marketplace","Zora Labs is a marketplace for non-fungible tokens. Its platform utilizes blockchain technology that offers secondary market value to digital files including photos, videos, audio, and music, and includes features such as drop alerts and notifications. Zora Labs was founded in 2020 and is headquartered in Los Angeles, California.","Los Angeles, California, United States",11-50,Active,59999937,USD,59999937,50000000,USD,50000000,2022-05-05,
Ark Kapital,https://www.crunchbase.com/organization/ark-kapital,For Profit,Private,Seed,"Financial Services, FinTech","Ark Kapital is a precision financing company that empowers technology businesses to grow faster, enables owners to maintain control, and reduces risk for investors. ArK is founded by a world-class AI technology developer, a six-time-founder, and the veteran banker you always wanted.","Stockholm, Stockholms Lan, Sweden",11-50,Active,330500000,EUR,365256222,15000000,EUR,15281002,2022-08-05,hello@arkkapital.com
